title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Appropriate Follow-up Imaging for Incidental Abdominal Lesions,N/A,N/A,N/A,405,"Percentage of final reports for abdominal imaging studies for patients aged 18 years and older with one or more of the following noted incidentally with follow_up imaging recommended
- Liver lesion =< 0.5 cm 
- Cystic kidney lesion < 1.0 cm 
- Adrenal lesion =< 1.0 cm",Effective Clinical Care,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_405_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_405_MedicarePartBClaims.pdf,,,FALSE,FALSE
Appropriate Follow-up Imaging for Incidental Thyroid Nodules in Patients,N/A,N/A,N/A,406,"Percentage of final reports for computed tomography (CT), CT angiography (CTA) or magnetic resonance imaging (MRI) or magnetic resonance angiogram (MRA) studies of the chest or neck for patients aged 18 years and older with no known thyroid disease with a thyroid nodule < 1.0 cm noted incidentally with follow-up imaging recommended",Effective Clinical Care,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_406_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_406_MedicarePartBClaims.pdf,,,FALSE,FALSE
Appropriate Treatment of Methicillin-Susceptible Staphylococcus Aureus (MSSA) Bacteremia,N/A,N/A,N/A,407,"Percentage of patients with sepsis due to MSSA bacteremia who received beta-lactam antibiotic (e.g. Nafcillin, Oxacillin or Cefazolin) as definitive therapy",Effective Clinical Care,Process,Infectious Diseases Society of America,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_407_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_407_MedicarePartBClaims.pdf,,,FALSE,FALSE
Opioid Therapy Follow-up Evaluation,N/A,N/A,N/A,408,All patients 18 and older prescribed opiates for longer than six weeks duration who had a follow-up evaluation conducted at least every three months during Opioid Therapy documented in the medical record,Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_408_MIPSCQM.pdf,,,,FALSE,FALSE
Clinical Outcome Post Endovascular Stroke Treatment,N/A,N/A,N/A,409,Percentage of patients with a mRs score of 0 to 2 at 90 days following endovascular stroke intervention,Effective Clinical Care,Outcome,Society of Interventional Radiology ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_409_MIPSCQM.pdf,,,,FALSE,FALSE
Psoriasis: Clinical Response to Systemic Medications,N/A,N/A,N/A,410,Percentage of psoriasis vulgaris patients receiving systemic medication who meet minimal physician-or patient- reported disease activity levels. It is implied that establishment and maintenance of an established minimum level of disease control as measured by physician-and/or patient-reported outcomes will increase patient satisfaction with and adherence to treatment,Person and Caregiver-Centered Experience and Outcomes,Outcome,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_410_MIPSCQM.pdf,,,,FALSE,FALSE
Depression Remission at Six Months,N/A,N/A,711,411,The percentage of adolescent patients 12 to 17 years of age and adult patients 18 years of age or older with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date,Effective Clinical Care,Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,2,,"weightedAverage
",,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_411_MIPSCQM.pdf,,,,FALSE,FALSE
Documentation of Signed Opioid Treatment Agreement,N/A,N/A,N/A,412,All patients 18 and older prescribed opiates for longer than six weeks duration who signed an opioid treatment agreement at least once during Opioid Therapy documented in the medical record,Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_412_MIPSCQM.pdf,,,,FALSE,FALSE
Door to Puncture Time for Endovascular Stroke Treatment,N/A,N/A,N/A,413,Percentage of patients undergoing endovascular stroke treatment who have a door to puncture time of less than two hours,Effective Clinical Care,Intermediate Outcome,Society of Interventional Radiology ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_413_MIPSCQM.pdf,,,,FALSE,FALSE
Evaluation or Interview for Risk of Opioid Misuse,N/A,N/A,N/A,414,"All patients 18 and older prescribed opiates for longer than six weeks duration evaluated for risk of opioid misuse using a brief validated instrument (e.g. Opioid Risk Tool, SOAPP-R) or patient interview documented at least once during Opioid Therapy in the medical record",Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_414_MIPSCQM.pdf,,,,FALSE,FALSE
Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,N/A,N/A,N/A,415,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care clinician who have an indication for a head CT,Efficiency and Cost Reduction,Efficiency,American College of Emergency Physicians,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_415_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_415_MedicarePartBClaims.pdf,,,FALSE,FALSE
Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,N/A,N/A,N/A,416,Percentage of emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who are classified as low risk according to the Pediatric Emergency Care Applied Research Network (PECARN) prediction rules for traumatic brain injury,Efficiency and Cost Reduction,Efficiency,American College of Emergency Physicians,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_416_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_416_MedicarePartBClaims.pdf,,,FALSE,FALSE
Rate of Open Repair of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) Where Patients Are Discharged Alive,N/A,N/A,1523,417,Percentage of patients undergoing open repair of small or moderate non-ruptured infrarenal abdominal aortic aneurysms (AAA) who are discharged alive,Patient Safety,Outcome,Society for Vascular Surgery,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_417_MIPSCQM.pdf,,,,FALSE,FALSE
Osteoporosis Management in Women Who Had a Fracture,N/A,N/A,53,418,The percentage of women age 50-85 who suffered a fracture in the six months prior to the performance period through June 30 of the performance period and who either had a bone mineral density test or received a prescription for a drug to treat osteoporosis in the six months after the fracture,Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_418_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_418_MedicarePartBClaims.pdf,,,FALSE,FALSE
Overuse of Imaging for the Evaluation of Primary Headache,N/A,N/A,N/A,419,Percentage of patients for whom imaging of the head (CT or MRI) is obtained for the evaluation of primary headache when clinical indications are not present,Efficiency and Cost Reduction,Process,American Academy of Neurology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_419_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_419_MedicarePartBClaims.pdf,,,FALSE,FALSE
Varicose Vein Treatment with Saphenous Ablation: Outcome Survey,N/A,N/A,N/A,420,Percentage of patients treated for varicose veins (CEAP C2-S) who are treated with saphenous ablation (with or without adjunctive tributary treatment) that report an improvement on a disease specific patient reported outcome survey instrument after treatment,Effective Clinical Care,Patient Reported Outcome,Society of Interventional Radiology ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_420_MIPSCQM.pdf,,,,FALSE,FALSE
Appropriate Assessment of Retrievable Inferior Vena Cava (IVC) Filters for Removal,N/A,N/A,N/A,421,"Percentage of patients in whom a retrievable IVC filter is placed who, within 3 months post-placement, have a documented assessment for the appropriateness of continued filtration, device removal or the inability to contact the patient with at least two attempts",Effective Clinical Care,Process,Society of Interventional Radiology ,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_421_MIPSCQM.pdf,,,,FALSE,FALSE
Performing Cystoscopy at the Time of Hysterectomy for Pelvic Organ Prolapse to Detect Lower Urinary Tract Injury,N/A,N/A,2063,422,Percentage of patients who undergo cystoscopy to evaluate for lower urinary tract injury at the time of hysterectomy for pelvic organ prolapse,Patient Safety,Process,American Urogynecologic Society,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_422_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_422_MedicarePartBClaims.pdf,,,FALSE,FALSE
Perioperative Temperature Management,N/A,N/A,2681,424,"Percentage of patients, regardless of age, who undergo surgical or therapeutic procedures under general or neuraxial anesthesia of 60 minutes duration or longer for whom at least one body temperature greater than or equal to 35.5 degrees Celsius (or 95.9 degrees Fahrenheit) was achieved within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time",Patient Safety,Outcome,American Society of Anesthesiologists,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_424_MIPSCQM.pdf,,,,FALSE,FALSE
Photodocumentation of Cecal Intubation,N/A,N/A,N/A,425,The rate of screening and surveillance colonoscopies for which photodocumentation of at least two landmarks of cecal intubation is performed to establish a complete examination,Effective Clinical Care,Process,American Society for Gastrointestinal Endoscopy,X,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_425_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_425_MedicarePartBClaims.pdf,,,FALSE,FALSE
Pelvic Organ Prolapse: Preoperative Assessment of Occult Stress Urinary Incontinence,N/A,N/A,N/A,428,Percentage of patients undergoing appropriate preoperative evaluation of stress urinary incontinence prior to pelvic organ prolapse surgery per ACOG/AUGS/AUA guidelines,Effective Clinical Care,Process,American Urogynecologic Society,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_428_MIPSCQM.pdf,,,,FALSE,FALSE
Pelvic Organ Prolapse: Preoperative Screening for Uterine Malignancy,N/A,N/A,N/A,429,Percentage of patients who are screened for uterine malignancy prior to vaginal closure or obliterative surgery for pelvic organ prolapse,Patient Safety,Process,American Urogynecologic Society,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_429_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_429_MedicarePartBClaims.pdf,,,FALSE,FALSE
Prevention of Post-Operative Nausea and Vomiting (PONV) - Combination Therapy,N/A,N/A,N/A,430,"Percentage of patients, aged 18 years and older, who undergo a procedure under an inhalational general anesthetic, AND who have three or more risk factors for post-operative nausea and vomiting (PONV), who receive combination therapy consisting of at least two prophylactic pharmacologic antiemetic agents of different classes preoperatively and/or intraoperatively",Patient Safety,Process,American Society of Anesthesiologists,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_430_MIPSCQM.pdf,,,,FALSE,FALSE
Preventive Care and Screening: Unhealthy Alcohol Use: Screening & Brief Counseling,N/A,N/A,2152,431,Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 24 months AND who received brief counseling if identified as an unhealthy alcohol user,Community/Population Health,Process,Physician Consortium for Performance Improvement,-,-,-,-,-,X,-,-,X,-,X,-,-,X,X,X,-,-,X,-,-,X,-,X,X,X,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_431_MIPSCQM.pdf,,,,FALSE,FALSE
Proportion of Patients Sustaining a Bladder Injury at the Time of any Pelvic Organ Prolapse Repair,N/A,N/A,N/A,432,Percentage of patients undergoing any surgery to repair pelvic organ prolapse who sustains an injury to the bladder recognized either during or within 30 days after surgery,Patient Safety,Outcome,American Urogynecologic Society,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_432_MIPSCQM.pdf,,,,FALSE,FALSE
Proportion of Patients Sustaining a Bowel Injury at the time of any Pelvic Organ Prolapse Repair,N/A,N/A,N/A,433,Percentage of patients undergoing surgical repair of pelvic organ prolapse that is complicated by a bowel injury at the time of index surgery that is recognized intraoperatively or within 30 days after surgery,Patient Safety,Outcome,American Urogynecologic Society,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_433_MIPSCQM.pdf,,,,FALSE,FALSE
Proportion of Patients Sustaining a Ureter Injury at the Time of Pelvic Organ Prolapse Repair,N/A,N/A,N/A,434,Percentage of patients undergoing pelvic organ prolapse repairs who sustain an injury to the ureter recognized either during or within 30 days after surgery,Patient Safety,Outcome,American Urogynecologic Society,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_434_MIPSCQM.pdf,,,,FALSE,FALSE
Quality of Life Assessment For Patients With Primary Headache Disorders,N/A,N/A,N/A,435,Percentage of patients with a diagnosis of primary headache disorder whose health related quality of life (HRQoL) was assessed with a tool(s) during at least two visits during the 12 month measurement period AND whose health related quality of life score stayed the same or improved,Effective Clinical Care,Patient Reported Outcome,American Academy of Neurology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_435_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_435_MedicarePartBClaims.pdf,,,FALSE,FALSE
Radiation Consideration for Adult CT: Utilization of Dose Lowering Techniques,N/A,N/A,N/A,436,"Percentage of final reports for patients aged 18 years and older undergoing CT with documentation that one or more of the following dose reduction techniques were used
- Automated exposure control
- Adjustment of the mA and/or kV according to patient size
- Use of iterative reconstruction technique",Effective Clinical Care,Process,American College of Radiology/Ameri can Medical AssociationPhysician Consortium for Performance Improvement/ National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_436_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_436_MedicarePartBClaims.pdf,,,FALSE,FALSE
Rate of Surgical Conversion from Lower Extremity Endovascular Revascularization Procedure,N/A,N/A,N/A,437,"Inpatients assigned to endovascular treatment for obstructive arterial disease, the percent of patients who undergo unplanned major amputation or surgical bypass within 48 hours of the index procedure",Patient Safety,Outcome,Society of Interventional Radiology ,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_437_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_437_MedicarePartBClaims.pdf,,,FALSE,FALSE
Statin Therapy for the Prevention and Treatment of Cardiovascular Disease,CMS347v2,N/A,N/A,438,"Percentage of the following patients - all considered at high risk of cardiovascular events - who were prescribed or were on statin therapy during the measurement period:
*Adults aged >= 21 years who were previously diagnosed with or currently have an active diagnosis of clinical atherosclerotic cardiovascular disease (ASCVD); OR

*Adults aged >= 21 years who have ever had a fasting or direct low-density lipoprotein cholesterol (LDL-C) level >= 190 mg/dL or were previously diagnosed with or currently have an active diagnosis of familial or pure hypercholesterolemia; OR

*Adults aged 40-75 years with a diagnosis of diabetes with a fasting or direct LDL-C level of 70-189 mg/dL",Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,-,-,X,X,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_438_MIPSCQM.pdf,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV13_CMSWebInterface_UPDATED.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms347v2,FALSE,FALSE
Age Appropriate Screening Colonoscopy ,N/A,N/A,N/A,439,The percentage of patients greater than 85 years of age who received a screening colonoscopy from January 1 to December 31,Effective Clinical Care,Efficiency,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_439_MIPSCQM.pdf,,,,FALSE,FALSE
Basal Cell Carcinoma (BCC)/Squamous Cell Carcinoma (SCC): Biopsy Reporting Time - Pathologist to Clinician,N/A,N/A,N/A,440,Percentage of biopsies with a diagnosis of cutaneous Basal Cell Carcinoma (BCC) and Squamous Cell Carcinoma (SCC) (including in situ disease) in which the pathologist communicates results to the clinician within 7 days from the time when the tissue specimen was received by the pathologist,Communication and Care Coordination,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_440_MIPSCQM.pdf,,,,FALSE,FALSE
Ischemic Vascular Disease (IVD) All or None Outcome Measure (Optimal Control),N/A,N/A,N/A,441,"The IVD All-or-None Measure is one outcome measure (optimal control). The measure contains four goals. All four goals within a measure must be reached in order to meet that measure. The numerator for the all-or-none measure should be collected from the organization's total IVD denominator. All-or-None Outcome Measure (Optimal Control) - Using the IVD denominator optimal results include:

-  Most recent blood pressure (BP) measurement is less than or equal to 140/90 mm Hg -- AND

- Most recent tobacco status is Tobacco Free -- AND

- Daily Aspirin or Other Antiplatelet Unless Contraindicated -- AND

- Statin Use Unless Contraindicated",Effective Clinical Care,Intermediate Outcome,Wisconsin Collaborative for Healthcare Quality,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_441_MIPSCQM.pdf,,,,FALSE,FALSE
Persistence of Beta-Blocker Treatment After a Heart Attack,N/A,N/A,71,442,The percentage of patients 18 years of age and older during the measurement year who were hospitalized and discharged from July 1 of the year prior to the measurement year to June 30 of the measurement year with adiagnosis of acute myocardial infarction (AMI) and who were prescribed persistent beta-blocker treatment for six months after discharge,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_442_MIPSCQM.pdf,,,,FALSE,FALSE
