title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perioperative Care: Selection of Prophylactic Antibiotic – First OR Second-Generation Cephalosporin,N/A,N/A,0268,021,Percentage of surgical patients aged 18 years and older undergoing procedures with the indications for a first OR second-generation cephalosporin prophylactic antibiotic who had an order for a first OR second-generation cephalosporin for antimicrobial prophylaxis.,Patient Safety,Process,Healthcare-associated Infections,X,X,American Society of Plastic Surgeons,2017,2022,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,"2018
2019
2020
2021",-,-,-,-,"2017
2018
2019
2020
2021","2017
2018
2019
2020
2021",-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,"2018
2019
2020
2021","N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N/A,N/A,N/A,023,"Percentage of surgical patients aged 18 years and older undergoing procedures for which venous thromboembolism (VTE) prophylaxis is indicated in all patients, who had an order for Low Molecular Weight Heparin (LMWH), Low- Dose Unfractionated Heparin (LDUH), adjusted-dose warfarin, fondaparinux or mechanical prophylaxis to be given within 24 hours prior to incision time or within 24 hours after surgery end time.",Patient Safety,Process,Preventive Care,X,-,American Society of Plastic Surgeons,2017,2022,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,"2018
2019
2020
2021",-,-,-,-,"2017
2018
2019
2020
2021","2017
2018
2019
2020
2021",-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,"2018
2019
2020
2021","2018
2019
2020
2021","N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication with the Physician or Other Clinician Managing On-Going Care Post-Fracture for Men and Women Aged 50 Years and Older,N/A,N/A,N/A,024,"Percentage of patients aged 50 years and older treated for a fracture with documentation of communication, between the physician treating the fracture and the physician or other clinician managing the patient’s on-going care, that a fracture occurred and that the patient was or should be considered for osteoporosis treatment or testing. This measure is submitted by the physician who treats the fracture and who therefore is held accountable for the communication.",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"Claims: • Count each unique diagnosis as an episode for an TIN/NPI/Bene unless multiple diagnoses appear on the same claim.      
• Multiple qualifying ICD10, CPT or HCPCS procedure on a single claim are counted once. (A single claim can be counted a maximum of once for an episode per TIN/NPI/Bene combo regardless of the number of qualifying DXs or procedures that exist).
• Multiple claims with any intersecting diagnosis will be counted once. Intersecting claims with diagnosis codes will be counted once. All claims that share diagnosis codes are combined into one episode, given they have the same TIN/NPI/Bene.  
• If the TIN/NPI/Bene combo has multiple claims containing ""different"" qualifying DX codes that have not been submitted during the performance period, then these claims may each count as additional episodes. 
• Use the most favorable instance of reporting for performance rates if multiple conflicting QDCs exist on a qualifying episode
• The QDC must exist on the claim with the qualifying denominator episode (overarching rule for all measures)
This measure has multiple denominator options based on care setting (outpatient vs. procedure).  This measure requires the reporting of only one data completeness and performance rate.  ",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N/A,N/A,0325,032,Percentage of patients aged 18 years and older with a diagnosis of ischemic stroke or transient ischemic attack (TIA) who were prescribed antithrombotic therapy at discharge,Effective Clinical Care,Process,-,-,-,American Academy of Neurology,2017,2018,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,-,-,-,-,-,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: Each time a discharge code 99238 or 99239 is included on a claim a quality-data code is to be reported. Utilize Visit logic for this measure. ",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screening for Osteoporosis for Women Aged 65-85 Years of Age,N/A,N/A,0046,039,Percentage of female patients aged 65-85 years of age who ever had a central dual-energy X-ray absorptiometry (DXA) to check for osteoporosis.,Effective Clinical Care,Process,Preventive Care,-,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022","X
2018
2019
2020
2021
2022",-,-,"X
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"Diagnosis of osteoporosis on the date of service is not considered denominator eligible. 
",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coronary Artery Bypass Graft (CABG): Use of Internal Mammary Artery (IMA) in Patients with Isolated CABG Surgery ",N/A,N/A,0134,043,Percentage of patients aged 18 years and older undergoing isolated CABG surgery who received an IMA graft,Effective Clinical Care,Process,Appropriate Use of Healthcare,-,-,Society of Thoracic Surgeons,2017,2019,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,-,-,-,"N/A",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N/A,N/A,0236,044,Percentage of isolated Coronary Artery Bypass Graft (CABG) surgeries for patients aged 18 years and older who received a beta-blocker within 24 hours prior to surgical incision.,Effective Clinical Care,Process,Medication Management,-,-,Centers for Medicare & Medicaid Services,2017,2022,-,-,-,-,-,X,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication Reconciliation Post-Discharge,N/A,N/A,0097,046,"The percentage of discharges from any inpatient facility (e.g. hospital, skilled nursing facility, or rehabilitation facility) for patients 18 years of age and older seen within 30 days following discharge in the office by the physician, prescribing practitioner, registered nurse, or clinical pharmacist providing on-going care for whom the discharge medication list was reconciled with the current medication list in the outpatient medical record
This measure is submitted as three rates stratified by age group:
• Submission Criteria 1: 18-64 years of age.
• Submission Criteria 2: 65 years and older.
• Total Rate: All patients 18 years of age and older.",Communication and Care Coordination,Process,Medication Management,X,-,National Committee for Quality Assurance,2017,2020,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019",2019,-,-,-,-,-,"2018
2019",-,-,-,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"This measure requires the reporting of three performance rates. The third performance rate outlined in the measure specification should be utilized for an overall reporting and performance rate for this measure.
Claims: 
• Age must be >= to 18 on the outpt visit date. 
• If med reconciliation is reported > once for an inpt discharge (utilizing Part B claims), the most favorable QDC(s) reported w/in 30 days after the discharge should count for the episode for performance calculations.
• The 30 day episode will start 30 days minus the 1st expense date of an outpt visit where a denom code is present on the claim’s line item. If multiple outpt visits appear (where denom codes are on multiple line items) on the same claim take the denom code line item with the latest expense date (of the denom codes that fall within 30-days of the inpt. discharge  on that claim).
•  Hospital (inpt Part B discharge) ""hidden"" codes are at the bene-level regardless of TIN/NPI. Correlate eligible cases with non-denom inpt codes for bene regardless of TIN/NPI to find last inpt expense date, then count 30 days per episode from that date.
• Inpt discharges may occur up to 30 days prior to the beginning of the performance period (January 1, 2019), but outpt visits must occur during the reporting period (January 1 - December 31, 2019).                                                                                                                                                    • Take the last inpt expense date of the line item for the relevant “hidden” inpatient codes when multiple inpt codes are submitted on consecutive days or when one inpt code spans several expense dates, the last date should count as the date of inpt discharge.                                                                                                                                                   
 • The last inpt discharge during the 30 day episode will override any previous inpt discharges. 
• If the outpatient visit occurs during the hospital visit (same day as an inpatient code is submitted), then it will not count as an instance of reporting. An outpatient visit must occur at least one day AFTER an inpatient discharge (break in inpatient codes) to count as an instance of reporting.                                                                                                                                                                                                                                                                                                                                                               
• REFER TO THE ""HIDDEN CODES"" TAB OF THE SINGLE SOURCE FOR A COMPLETE LISTING OF THE HOSPITAL INPATIENT DISCHARGE ""HIDDEN"" CODES.             ",-,N,N,3,3rd Performance Rate,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Care Plan,N/A,N/A,0326,047,Percentage of patients aged 65 years and older who have an advance care plan or surrogate decision maker documented in the medical record or documentation in the medical record that an advance care plan was discussed but the patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan.,Communication and Care Coordination,Process,Care is Personalized and Aligned with Patient’s Goals,X,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022","X
2022",-,"X
2021
2022",-,-,-,-,2017,-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,2017,"X
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",2017,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,2017,-,"X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","Claims: Exclude line items from the denominator when CPT codes are seen with a Place of Service for emergency department (POS) = 23. MIPS eligible clinicians indicating the Place of Service as the emergency department will not be included in this measure.
",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,N/A,048,Percentage of female patients aged 65 years and older who were assessed for the presence or absence of urinary incontinence within 12 months.,Effective Clinical Care,Process,Preventive Care,-,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,"X
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,N/A,050,Percentage of female patients aged 65 years and older with a diagnosis of urinary incontinence with a documented plan of care for urinary incontinence at least once within 12 months.,Person and Caregiver-Centered Experience and Outcomes,Process,Management of Chronic Conditions,X,-,National Committee for Quality Assurance,2017,"Measure is still in Program ",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,"X
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"N/A",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N/A,N/A,0091,051,Percentage of patients aged 18 years and older with a diagnosis of COPD who had spirometry results documented.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Thoracic Society,2017,2020,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Obstructive Pulmonary Disease (COPD): Long-Acting Inhaled Bronchodilator Therapy,N/A,N/A,0102,052,Percentage of patients aged 18 years and older with a diagnosis of COPD (FEV1/FVC < 70%) and who have an FEV1 less than 60% predicted and have symptoms who were prescribed a long-acting inhaled bronchodilator.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Thoracic Society,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Treatment for Upper Respiratory Infection (URI),CMS154v10,N/A,0069,065,Percentage of episodes for patients 3 months of age and older with a diagnosis of upper respiratory infection (URI) that did not result in an antibiotic dispensing event.,Efficiency and Cost Reduction,Process,Appropriate Use of Healthcare,X,X,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,2018,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"N/A",-,N,Y,1,"N/A
",N/A,N,,,,,,,,,,N,N,N,N,N,Y (2022),2022,Measure is being updated to assess the correct patient population and align with intent.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Testing for Pharyngitis,CMS146v10,N/A,N/A,066,The percentage of episodes for patients 3 years and older with a diagnosis of pharyngitis that resulted in an antibiotic dispensing event and a group A streptococcus (strep) test.,Efficiency and Cost Reduction,Process,Appropriate Use of Healthcare,X,X,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Hematology: Myelodysplastic Syndrome (MDS) and Acute Leukemias: Baseline Cytogenetic Testing Performed on Bone Marrow",N/A,N/A,N/A,067,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) or an acute leukemia who had baseline cytogenetic testing performed on bone marrow.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Society of Hematology,2017,2022,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Hematology: Myelodysplastic Syndrome (MDS): Documentation of Iron Stores in Patients Receiving Erythropoietin Therapy",N/A,N/A,N/A,068,Percentage of patients aged 18 years and older with a diagnosis of myelodysplastic syndrome (MDS) who are receiving erythropoietin therapy with documentation of iron stores within 60 days prior to initiating erythropoietin therapy.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Society of Hematology,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Hematology: Multiple Myeloma: Treatment with Bisphosphonates",N/A,N/A,N/A,069,"Percentage of patients aged 18 years and older with a diagnosis of multiple myeloma, not in remission, who were prescribed or received intravenous bisphosphonate therapy within the 12-month reporting period.",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Society of Hematology,2017,2021,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,N,N,N,N,N,"(Y) 2019
(Y) 2020","Suppression ","2019
2020","2019: Update to guidelines. For 2019 and 2020, utilized the denominator exception for use of denosumab.
",,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematology: Chronic Lymphocytic Leukemia (CLL): Baseline Flow Cytometry,N/A,N/A,N/A,070,"Percentage of patients aged 18 years and older, seen within a 12-month reporting period, with a diagnosis of chronic lymphocytic leukemia (CLL) made at any time during or prior to the reporting period who had baseline flow cytometry studies performed and documented in the chart.",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Society of Hematology,2017,2022,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Prevention of Central Venous Catheter (CVC) - Related Bloodstream Infections",N/A,N/A,2726,076,"Percentage of patients, regardless of age, who undergo central venous catheter (CVC) insertion for whom CVC was inserted with all elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed.",Patient Safety,Process,Healthcare-associated Infections,X,-,American Society of Anesthesiologists,2017,Measure is still in program,X,-,-,-,-,X,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Otitis Externa (AOE): Topical Therapy,N/A,N/A,0653,091,Percentage of patients aged 2 years and older with a diagnosis of AOE who were prescribed topical preparations.,Effective Clinical Care,Process,Appropriate Use of Healthcare,X,X,American Academy of Otolaryngology – Head and Neck Surgery,2017,2020,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,"2018
2019",-,-,-,-,2018,"2018
2019",-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,2019,-,-,"Claims: Approved to count an episode as any claims for the TIN/NPI/Bene that qualify for the measure within a 30-day timeframe. Use the last expense date corresponding to qualifying line items (denominator diagnosis or encounter codes) on the first claim to start the 30-day episode.  The 30-day continues forward to include any subsequent claim(s) where the 1st expense date on qualifying line items (denominator diagnosis or procedure codes) is within 30-days of the last expense date on that 1st claim. The first claim with a QDC within the episode is the QDC to use when calculating performance .

",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy – Avoidance of Inappropriate Use,N/A,N/A,0654,093,Percentage of patients aged 2 years and older with a diagnosis of AOE who were not prescribed systemic antimicrobial therapy.,Efficiency and Cost Reduction,Process,Appropriate Use of Healthcare,X,X,American Academy of Otolaryngology – Head and Neck Surgery,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,2018,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"Claims: Approved to count an episode as any claims for the TIN/NPI/Bene that qualify for the measure within a 30-day timeframe. Use the last expense date corresponding to qualifying line items (denominator diagnosis or encounter codes) on the first claim to start the 30-day episode.  The 30-day continues forward to include any subsequent claim(s) where the 1st expense date on qualifying line items (denominator diagnosis or procedure codes) is within 30-days of the last expense date on that 1st claim. The first claim with a QDC within the episode is the QDC to use when calculating performance.  

",-,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breast Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade ",N/A,N/A,0391,099,"Percentage of breast cancer resection pathology reports that include the pT category (primary tumor), the pN category (regional lymph nodes), and the histologic grade",Effective Clinical Care,Process,Transfer of Health Information and Interoperability,-,-,College of American Pathologists,2017,2019,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: Only one QDC per date of service for a patient is required. ",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorectal Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N/A,N/A,0392,100,"Percentage of colon and rectum cancer resection pathology reports that include the pT category (primary tumor), the pN category (regional lymph nodes) and the histologic grade",Effective Clinical Care,Process,Transfer of Health Information and Interoperability,-,-,College of American Pathologists,2017,2019,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: Only one QDC per date of service for a patient is required. ",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
